year,quarter,industry,recruitment_rate,resignation_rate,retrenchment
2010,Q1,manufacturing,1.9,1.5,1000
2010,Q1,construction,2.1,1.7,340
2010,Q1,services,3.1,2.3,1060
2010,Q2,manufacturing,2.2,1.8,1140
2010,Q2,construction,2.5,2.0,150
2010,Q2,services,3.3,2.5,990
2010,Q3,manufacturing,2.2,1.6,970
2010,Q3,construction,2.7,1.8,170
2010,Q3,services,3.3,2.4,790
2010,Q4,manufacturing,1.7,1.2,1370
2010,Q4,construction,2.5,1.6,690
2010,Q4,services,2.9,2.0,1120
2011,Q1,manufacturing,1.9,1.6,1440
2011,Q1,construction,2.5,1.5,310
2011,Q1,services,2.8,2.2,1010
2011,Q2,manufacturing,2.1,1.7,600
2011,Q2,construction,3.0,2.0,410
2011,Q2,services,3.1,2.3,1020
2011,Q3,manufacturing,2.3,1.7,770
2011,Q3,construction,2.9,1.8,100
2011,Q3,services,3.3,2.3,1050
2011,Q4,manufacturing,1.6,1.3,1660
2011,Q4,construction,3.0,1.6,240
2011,Q4,services,2.8,1.9,1360
2012,Q1,manufacturing,2.0,1.7,750
2012,Q1,construction,3.0,1.9,260
2012,Q1,services,2.9,2.4,1580
2012,Q2,manufacturing,2.1,1.8,520
2012,Q2,construction,3.6,2.0,180
2012,Q2,services,3.1,2.4,1510
2012,Q3,manufacturing,1.9,1.6,1200
2012,Q3,construction,3.4,1.8,140
2012,Q3,services,3.0,2.3,1510
2012,Q4,manufacturing,1.6,1.2,1580
2012,Q4,construction,3.6,1.8,70
2012,Q4,services,2.7,2.0,1690
2013,Q1,manufacturing,1.6,1.6,680
2013,Q1,construction,3.6,2.1,130
2013,Q1,services,2.8,2.3,1300
2013,Q2,manufacturing,2.2,1.6,1630
2013,Q2,construction,3.7,2.2,250
2013,Q2,services,3.0,2.4,1190
2013,Q3,manufacturing,2.1,1.6,1250
2013,Q3,construction,3.1,1.7,260
2013,Q3,services,2.9,2.2,1200
2013,Q4,manufacturing,1.6,1.2,1430
2013,Q4,construction,2.8,1.9,480
2013,Q4,services,2.6,1.9,1740
2014,Q1,manufacturing,1.7,1.6,820
2014,Q1,construction,2.5,2.0,400
2014,Q1,services,2.7,2.3,1890
2014,Q2,manufacturing,1.9,1.7,710
2014,Q2,construction,3.1,2.1,280
2014,Q2,services,3.0,2.4,1420
2014,Q3,manufacturing,2.0,1.6,1270
2014,Q3,construction,2.7,1.8,210
2014,Q3,services,3.0,2.3,2030
2014,Q4,manufacturing,1.5,1.3,1180
2014,Q4,construction,2.4,1.6,800
2014,Q4,services,2.6,1.8,1930
2015,Q1,manufacturing,1.5,1.6,950
2015,Q1,construction,2.3,1.8,610
2015,Q1,services,2.6,2.0,1930
2015,Q2,manufacturing,1.8,1.7,870
2015,Q2,construction,2.7,2.1,230
2015,Q2,services,2.8,2.2,2100
2015,Q3,manufacturing,1.7,1.5,920
2015,Q3,construction,2.5,1.7,430
2015,Q3,services,2.7,2.0,2120
2015,Q4,manufacturing,1.2,1.1,2480
2015,Q4,construction,2.3,1.7,520
2015,Q4,services,2.5,1.8,2360
2016,Q1,manufacturing,1.6,1.5,1790
2016,Q1,construction,2.3,1.6,390
2016,Q1,services,2.5,2.0,2530
2016,Q2,manufacturing,1.8,1.6,1380
2016,Q2,construction,2.2,1.8,350
2016,Q2,services,2.6,2.1,3000
2016,Q3,manufacturing,1.6,1.5,1120
2016,Q3,construction,1.9,1.6,600
2016,Q3,services,2.4,1.9,2510
2016,Q4,manufacturing,1.3,1.2,1990
2016,Q4,construction,1.9,1.7,580
2016,Q4,services,2.2,1.7,2840
2017,Q1,manufacturing,1.6,1.6,890
2017,Q1,construction,1.6,1.7,660
2017,Q1,services,2.2,1.9,2440
2017,Q2,manufacturing,1.9,1.6,840
2017,Q2,construction,1.9,1.9,470
2017,Q2,services,2.3,2.0,2330
2017,Q3,manufacturing,2.1,1.6,730
2017,Q3,construction,1.7,1.7,490
2017,Q3,services,2.4,1.9,2180
2017,Q4,manufacturing,1.7,1.3,1330
2017,Q4,construction,1.5,1.8,400
2017,Q4,services,2.3,1.7,1950
2018,Q1,manufacturing,1.7,1.6,510
2018,Q1,construction,1.8,1.6,350
2018,Q1,services,2.4,1.9,1470
2018,Q2,manufacturing,2.1,1.8,820
2018,Q2,construction,2.3,2.0,470
2018,Q2,services,2.7,2.1,1740
2018,Q3,manufacturing,2.1,1.5,870
2018,Q3,construction,2.0,1.7,200
2018,Q3,services,2.4,1.8,1800
2018,Q4,manufacturing,1.6,1.3,380
2018,Q4,construction,1.9,1.7,180
2018,Q4,services,2.2,1.7,1950
2019,Q1,manufacturing,1.7,1.7,1040
2019,Q1,construction,2.1,2.0,280
2019,Q1,services,2.4,1.8,1900
2019,Q2,manufacturing,2.0,1.7,490
2019,Q2,construction,2.4,2.0,150
2019,Q2,services,2.6,2.1,1680
2019,Q3,manufacturing,1.7,1.4,600
2019,Q3,construction,2.4,1.8,160
2019,Q3,services,2.5,1.9,1690
2019,Q4,manufacturing,1.5,1.0,670
2019,Q4,construction,2.1,1.4,270
2019,Q4,services,2.1,1.6,1730
